,urgent,buy,change,sell,price,gift,search,repair,parts,synt_brand,description,user,city,published,expire,date_scrapped,seen,anon_user
454,0,0,0,1,289,0,0,0,0,arturia,arturia microfreak vocoder ,moog1406,Girona,02/02/2022,12/11/2022,1/11/2022,514,637
455,0,0,0,1,1000,0,0,0,0,nord lead ,4 ,raul,Cádiz,26/10/2022,25/12/2022,1/11/2022,150,436
456,0,0,0,1,110,0,0,0,0,eurorack,braids eurorack reservado ,Wallace,La Rioja,26/10/2022,24/11/2022,1/11/2022,228,697
457,0,0,0,1,1679,0,0,0,0,waldorf,waldorf m sintetizador wavetable ,Storm,Bizkaia,24/12/2021,29/11/2022,1/11/2022,1754,533
458,0,0,0,1,450,0,0,0,0,jomox,jomox xbase 09 ,mikelgarcia,Málaga,18/10/2022,14/12/2022,1/11/2022,203,1145
459,1,0,0,1,400,0,0,0,0,korg,korg wavestation ex ,Carlos,Almería,04/09/2022,15/11/2022,1/11/2022,519,612
460,0,0,0,1,800,0,0,0,0,korg,korg karma full expanded ,bluewave,Barcelona,10/05/2022,29/12/2022,1/11/2022,932,859
461,0,0,0,1,12,0,0,0,0,eurorack,right angle eurorack cable 20cm ,liradigital MRF,Madrid,15/09/2022,01/12/2022,1/11/2022,372,1419
462,0,0,0,1,275,0,0,0,0,strymon,bluesky strymon ,andreslok,Barcelona,22/09/2022,21/11/2022,1/11/2022,362,963
463,0,0,0,1,200,0,0,0,0,akai,akai advance 49 ,KikeAOR,Alicante,22/05/2021,17/11/2022,1/11/2022,1980,614
464,0,0,0,1,1100,0,0,0,0,dexibell,piano de escenario - teclado master dexibell vivo s7 pro envío incluido ,gutig,La Rioja,03/08/2022,30/11/2022,1/11/2022,798,544
465,0,0,1,0,0,0,0,0,0,virus,virus ti2 darkstar por virus ti2 desktop o 1400 ,xtrias,Barcelona,11/10/2022,14/11/2022,1/11/2022,234,667
466,0,0,0,1,250,0,0,0,0,novation,novation impulse ,Isaac,Badajoz,18/10/2022,21/11/2022,1/11/2022,202,481
467,0,0,0,1,110,0,0,0,0,-,secuenciador analogico 16 pasos dual 8 8 ,instaljomar,Barcelona,05/07/2022,29/11/2022,1/11/2022,1261,1188
