,urgent,buy,change,sell,price,gift,search,repair,parts,synt_brand,description,city,published,expire,date_scrapped,seen,user_anon
574,0,0,0,1,1150,0,0,0,0,the,soma lyra 8 limited edition the pacifist ,Girona,12/07/2021,30/10/2022,1/9/2022,482,637
575,0,0,0,1,400,0,0,0,0,analogue systems ,secuenciador rs-200 y quantiser rs-260 ,Barcelona,25/07/2020,29/09/2022,1/9/2022,1662,1287
576,0,0,0,1,50,0,0,0,0,doepfer,doepfer a 130 2 dual vca ,Pontevedra,22 horas,30/10/2022,1/9/2022,50,964
577,0,0,0,1,460,0,0,0,0,alesis,alesis ion ,Alicante,2 semanas,24/09/2022,1/9/2022,260,850
578,0,0,0,1,500,0,0,0,0,instruments,star instruments synare 3 ,Baleares,3 semanas,13/10/2022,1/9/2022,142,596
579,0,0,0,1,100,0,0,0,0,yamaha,yamaha psr-f51 ,Asturias,31/07/2022,29/09/2022,1/9/2022,315,288
580,0,0,0,1,900,0,0,0,0,korg,korg polysix ,Barcelona,15/07/2022,13/09/2022,1/9/2022,584,1196
581,0,0,0,1,90,0,0,0,0,volca,korg volca fm ,Barcelona,6 días,25/10/2022,1/9/2022,94,728
582,0,0,0,1,100,0,0,0,0,noise,noise engeneering viol ruina ,Barcelona,2 semanas,28/09/2022,1/9/2022,132,612
583,0,0,0,1,4250,0,0,0,0,korg,korg trident mk i ,Madrid,20/04/2022,18/09/2022,1/9/2022,936,2019
584,0,0,0,1,110,0,0,0,0,-,maleta sintetizador 61 ,Murcia,28/05/2022,25/09/2022,1/9/2022,335,433
585,0,0,0,1,100,0,0,0,0,-,cacharros varios ,Valencia,2 semanas,28/09/2022,1/9/2022,1136,498
586,0,0,0,1,240,0,0,0,0,novation,novation circuit rythm ,Málaga,1 semana,22/10/2022,1/9/2022,174,398
587,0,0,1,0,0,0,0,0,0,noise,noise engineering basimilus iteritas ,Barcelona,04/12/2021,27/09/2022,1/9/2022,1373,1031
588,0,0,0,1,135,0,0,0,0,-,rebel technology chronos mkii ,Girona,28/02/2022,05/09/2022,1/9/2022,420,637
589,0,0,0,1,100,0,0,0,0,-,hardcase con ruedas para teclado de 76 teclas ,Lugo,05/01/2022,21/09/2022,1/9/2022,601,1229
590,0,0,0,1,5100,0,0,0,0,roland,roland jupiter 4 ,Barcelona,22/01/2022,24/09/2022,1/9/2022,3019,650
591,0,1,0,0,0,0,0,0,0,korg,tarjeta korg wavestation wsc-3s synth & time slice ,Gipuzkoa,11/10/2020,29/09/2022,1/9/2022,725,1293
592,0,0,0,1,2300,0,0,0,0,origin,arturia origin ,Valencia,10/05/2021,19/10/2022,1/9/2022,2010,843
593,0,0,0,1,10,0,0,0,0,moog,funda cubrepolvo a la medida para moog prodigy ,Madrid,17/07/2022,26/09/2022,1/9/2022,328,1103
594,0,0,0,1,250,0,0,0,0,novation,sintetizador teclado novation mininova ,Madrid,3 días,28/10/2022,1/9/2022,86,650
595,0,0,0,1,1750,0,0,0,0,sequential circuits ,pro-one ,Madrid,04/07/2022,02/09/2022,1/9/2022,460,377
596,0,0,0,1,320,0,0,0,0,behringer,behringer ms 1 ,Cádiz,09/07/2022,09/09/2022,1/9/2022,861,719
597,0,0,0,1,1500,0,0,0,0,yamaha,yamaha sk20 string machine ,Madrid,23/12/2021,25/09/2022,1/9/2022,1674,580
598,0,0,0,1,400,0,0,0,0,uno,uno synth pro ,Granada,07/11/2021,27/09/2022,1/9/2022,1152,1047
599,0,0,0,1,675,0,0,0,0,nord lead ,2x ,Navarra,3 semanas,29/09/2022,1/9/2022,430,861
600,0,0,0,1,6000,0,0,0,0,moog,moog one 8 ,León,2 días,29/10/2022,1/9/2022,120,912
601,0,0,0,1,1890,0,0,0,0,korg,mini korg 700 fs tambien cambios ,Girona,11/05/2022,22/09/2022,1/9/2022,690,637
602,0,0,0,1,375,0,0,0,0,-,casiotone 701 ,Girona,22/10/2021,27/09/2022,1/9/2022,1041,637
603,0,0,0,1,115,0,0,0,0,instruments,clon de mutable instruments frames ,Cádiz,22/07/2022,01/10/2022,1/9/2022,298,539
604,0,0,0,1,300,0,0,0,0,-,piano electrico vertical thomann dp- 51 ,Barcelona,13/07/2022,11/09/2022,1/9/2022,256,504
605,0,0,0,1,45,0,0,0,0,cre8audio,cre8audio chipz ,Pontevedra,5 horas,31/10/2022,1/9/2022,18,964
606,0,0,0,1,410,0,0,0,0,modular,eloquencer winter modular ,Sevilla,04/08/2022,03/10/2022,1/9/2022,218,300
607,0,0,0,1,111111,0,0,0,0,-,material a la venta en moogchild synthdrome ,Madrid,18/03/2021,18/09/2022,1/9/2022,20144,2019
608,0,0,0,1,1100,0,0,0,0,nord stage ,piano clavia rev c 88 teclas ,Girona,2 semanas,21/09/2022,1/9/2022,392,1126
609,0,0,0,1,180,0,0,0,0,decksaver,arturia drumbrute impact + decksaver ,León,11/07/2022,09/09/2022,1/9/2022,249,1031
610,0,0,0,1,40,0,0,0,0,midi,teclado midi 61 teclas ,Murcia,27/07/2022,25/09/2022,1/9/2022,212,607
611,0,0,0,1,140,0,0,0,0,4ms,4ms row power ,Tarragona,12/03/2022,28/09/2022,1/9/2022,467,554
612,0,0,0,1,80,0,0,0,0,eurorack,audiothingies ced tuner afinador eurorack ,Madrid,29/06/2022,11/09/2022,1/9/2022,300,652
613,0,0,0,1,600,0,0,0,0,yamaha,yamaha ex5 ,Cádiz,18/04/2022,03/10/2022,1/9/2022,641,901
614,0,0,0,1,500,0,0,0,0,yamaha,yamaha mo6 ,Madrid,2 semanas,20/10/2022,1/9/2022,194,413
615,0,0,0,1,330,0,0,0,0,-,keylab 49 mk2 negro ,Madrid,08/01/2022,28/09/2022,1/9/2022,1102,943
616,0,0,0,1,300,0,0,0,0,yamaha,yamaha rm1x ,Sevilla,4 días,27/10/2022,1/9/2022,110,741
617,0,0,0,1,50,0,0,0,0,korg,korg pa2x - pa 3x tarjeta ram 128mb - manual de operario korg pa2x ,Córdoba,19/07/2022,17/09/2022,1/9/2022,186,613
618,0,0,0,1,825,0,0,0,0,-,leslie 760 n autónomo ,Zaragoza,16/06/2020,24/09/2022,1/9/2022,1905,859
619,0,0,0,1,59,0,0,0,0,yamaha,yamaha vrc 106 data rom ,Girona,30/06/2021,26/09/2022,1/9/2022,348,637
620,0,0,0,1,100,0,0,0,0,modular,korg volca modular ,Málaga,25/07/2022,23/09/2022,1/9/2022,214,1141
621,0,0,0,1,1969,0,0,0,0,korg,korg minikorg 700 fs - nuevo ,Girona,27/05/2022,15/09/2022,1/9/2022,518,637
