,urgent,buy,change,sell,price,gift,search,repair,parts,synt_brand,description,user,city,published,expire,date_scrapped,seen,user_anon
738,0,0,0,1,320,0,0,0,0,roland,roland msq-700 secuenciador vintage ,pitch-on,Navarra,27/08/2022,26/10/2022,1/9/2022,162,802
739,0,0,0,1,299,0,0,0,0,electribe,"electribe 2 sampler roja, impoluta con extras ",liopic,Valencia,04/08/2022,05/10/2022,1/9/2022,234,640
740,0,0,0,1,485,0,0,0,0,yamaha,yamaha dx7 ii d ,yosualogan,Cantabria,19/05/2022,26/09/2022,1/9/2022,1199,1090
741,0,0,0,1,24,0,0,0,0,yamaha,"royal 1 pianos para yamaha motif xs, motif xf, moxf y montage modx ",bicho,Madrid,09/07/2017,10/09/2022,1/9/2022,5589,517
742,0,0,0,1,1850,0,0,0,0,-,amplificador 122 type classictone ,windbass,Zaragoza,03/11/2020,24/09/2022,1/9/2022,1365,859
743,0,0,0,1,200,0,0,0,0,emu,modulo emu audity 2000 ,Rammsysounds,Barcelona,10/06/2022,22/09/2022,1/9/2022,855,1301
744,0,0,0,1,530,0,0,0,0,-,modal cobalt8x ,flake02,Madrid,27/08/2022,26/10/2022,1/9/2022,136,613
745,0,0,0,1,300,0,0,0,0,roland,roland sonic cell - tarjeta de sonido - envío incluido ,Pablo Bauzá,Alicante,07/05/2021,23/09/2022,1/9/2022,646,1153
746,0,0,0,1,450,0,0,0,0,casio,casio cz 101 ,Sylvan,Valencia,13/03/2021,30/09/2022,1/9/2022,1952,637
747,0,0,0,1,99,0,0,0,0,audio,addac 804 audio integrator ,moog1406,Girona,13/04/2021,30/10/2022,1/9/2022,575,637
748,0,0,0,1,85,0,0,0,0,roland,roland pn d50 00 ,moog1406,Girona,24/05/2021,26/09/2022,1/9/2022,434,637
749,0,0,0,1,450,0,0,0,0,-,soma lyra 8 white angel ,dephaser,Cantabria,04/08/2022,09/09/2022,1/9/2022,566,844
750,0,0,0,1,750,0,0,0,0,-,medeli akx10 ,vicen51,Araba,20/03/2022,29/09/2022,1/9/2022,1209,635
751,0,0,0,1,75,0,0,0,0,roland,tarjeta roland sr-jv80-01 pop ,Radioskaf,Barcelona,18/11/2021,12/09/2022,1/9/2022,465,916
752,0,0,0,1,550,0,0,0,0,nord modular ,g1+ midiman para el software de edicion por 550 euros ,Steinwurfmusic L,A Coruña,18/11/2021,13/10/2022,1/9/2022,286,1620
753,0,0,0,1,1200,0,0,0,0,yamaha,yamaha motif xf7 ,amseven,Cantabria,02/08/2022,26/09/2022,1/9/2022,348,751
754,0,0,0,1,4000,0,0,0,0,kawai,piano kawai ,jordi61,Barcelona,04/07/2022,02/09/2022,1/9/2022,248,639
755,0,0,0,1,389,0,0,0,0,arturia,arturia keylab 61 mkii ,moog1406,Girona,01/06/2022,04/10/2022,1/9/2022,428,637
756,0,0,0,1,70,0,0,0,0,audio,tip top audio rs 909 ,moog1406,Girona,16/12/2021,30/10/2022,1/9/2022,415,637
757,0,0,1,0,400,0,0,0,0,korg,korg triton le tambien y cartuchocasio cz ,Fran Belenguer,Valencia,10/04/2022,09/09/2022,1/9/2022,1517,1344
758,0,0,0,1,198,0,0,0,0,erica synths ,bass drums ,moog1406,Girona,25/11/2021,08/10/2022,1/9/2022,590,637
759,0,0,0,1,3200,0,0,0,0,0,yamaha genos 2 0 + funda scc profesional ,Raufex,Valladolid,01/09/2022,31/10/2022,1/9/2022,44,619
760,0,0,0,1,50,0,0,0,0,noise,doepfer a 118 noise ,moog1406,Girona,08/10/2021,08/10/2022,1/9/2022,415,637
761,0,0,0,1,240,0,0,0,0,roland,roland mc-303 ,Juan Ramos,Valencia,18/05/2022,19/09/2022,1/9/2022,742,944
