,Unnamed: 0,urgent,buy,change,sell,price,gift,search,repair,parts,synt_brand,description,user,city,published,expire,date_scrapped,seen,user_anon
29,30,1,0,0,1,55,0,0,0,0,-,dos tarjetas para roland r8; memory card m-256e y contemporary percusion ,int3rc0m,Madrid,30/03/2022,26/09/2022,30/8/2022,513,752
30,31,0,0,0,1,185,0,0,0,0,-,makenoise st0 ,Lavenzza,Madrid,29/08/2022,28/10/2022,30/8/2022,48,843
31,32,0,0,0,1,240,0,0,0,0,-,neutron semimodular analógico ,sasl,Valencia,15/02/2021,19/09/2022,30/8/2022,1238,435
32,33,0,0,0,1,525,0,0,0,0,-,korg modwave + librerias envío incluido ,moogi,Cádiz,17/05/2022,28/09/2022,30/8/2022,895,539
33,34,0,0,0,1,45,0,0,0,0,-,stand akai mpc live 1 fuera stock env incl ,PETZOO,Cádiz,09/03/2022,28/09/2022,30/8/2022,619,481
34,35,0,0,0,1,370,0,0,0,0,-,roland mv30 ,Frabcusci,Sevilla,05/06/2022,10/09/2022,30/8/2022,728,914
35,36,0,0,0,1,140,0,0,0,0,-,groovebox roland d2 ,manolo garcia,Madrid,23/03/2022,26/09/2022,30/8/2022,844,1293
36,37,0,0,0,1,430,0,0,0,0,-,oto machines oto bam ,PLH,Barcelona,16/08/2022,13/10/2022,30/8/2022,268,228
37,38,0,0,1,1,0,0,0,0,0,-,modal argon 8 por ,pinmusica,Madrid,27/08/2022,26/10/2022,30/8/2022,148,969
38,39,0,0,1,0,0,0,0,0,0,-,ketron sd 1000 ,joseluis11,Alicante,09/08/2022,05/10/2022,30/8/2022,198,976
39,40,0,0,0,1,460,0,0,0,0,-,alesis micron ,finaldesousa,Barcelona,26/08/2022,25/10/2022,30/8/2022,130,1278
40,41,0,0,0,1,50,0,0,0,0,-,modulos eurorack ultimos-rebajados ,curve259,Araba,17/04/2020,25/09/2022,30/8/2022,14562,709
41,42,0,0,0,1,525,0,0,0,0,-,korg krome 61 ,ELKE_FALTABA,Cuenca,07/02/2022,24/09/2022,30/8/2022,1364,875
42,43,0,0,0,1,300,0,0,0,0,-,akai mpk88 ,japovaz,Ourense,15/06/2022,09/09/2022,30/8/2022,435,763
43,44,0,0,0,1,900,0,0,0,0,-,korg triton extreme 88 ,SINTEXIA,Córdoba,19/07/2022,17/09/2022,30/8/2022,440,613
44,45,0,0,0,1,120,0,0,0,0,-,behringer bcr2000 ,chinog,Madrid,16/08/2022,13/10/2022,30/8/2022,210,632
45,46,0,0,0,1,175,0,0,0,0,-,befaco kickall ,moog1406,Girona,05/05/2022,04/09/2022,30/8/2022,264,637
46,47,0,1,0,0,0,0,0,0,0,-,nord stage 3 compact o electro 6d 73 ,kike22,Murcia,14/06/2022,28/09/2022,30/8/2022,370,520
47,48,0,0,0,1,25,0,0,0,0,-,tarjetas roland sn-u110 02 y 12 ,Onyar,Girona,02/01/2022,16/09/2022,30/8/2022,557,521
48,49,0,0,0,1,30,0,0,0,0,-,delay korg monotron ,El Corto Adiós,Gipuzkoa,23/08/2022,19/10/2022,30/8/2022,158,1388
49,50,0,0,0,1,115,0,0,0,0,-,transient 8s secuenciador eurorack de 8 pasos ,moog1406,Girona,30/10/2020,08/10/2022,30/8/2022,530,637
50,51,0,0,0,1,260,0,0,0,0,-,tukra tesseract modular generador de baterias y secuenciador midi eurorack ,Blasting Modular,Barcelona,16/08/2022,17/10/2022,30/8/2022,242,1576
51,52,0,0,0,1,800,0,0,0,0,-,teenage engineering op-1 + funda oficial ,vulgatron,Madrid,19/05/2022,07/09/2022,30/8/2022,660,994
52,53,0,0,0,1,250,0,0,0,0,-,korg ns5r modulo de sonido del korg n264 ,Pablo Bauzá,Alicante,07/01/2022,23/09/2022,30/8/2022,852,1153
53,54,0,0,0,1,3349,0,0,0,0,-,sequential prophet 5 rev4 ,Storm,Bizkaia,17/02/2021,26/09/2022,30/8/2022,7924,533
54,55,0,0,0,1,1000,0,0,0,0,-,hammond xk-3 ,facallema,A Coruña,17/02/2021,26/09/2022,30/8/2022,220,918
55,56,0,0,0,1,800,0,0,0,0,-,yamaha modx6 ,ARPEGGIATORNIK,Granada,16/08/2022,18/10/2022,30/8/2022,220,1047
56,57,0,0,0,1,450,0,0,0,0,-,studiologic sl88 grand ,Armando Ferrer,Madrid,23/08/2022,22/10/2022,30/8/2022,256,1352
57,58,0,0,0,1,450,0,0,0,0,-,korg wavestate ,davne,Madrid,25/07/2022,28/09/2022,30/8/2022,596,526
58,59,0,0,0,1,60,0,0,0,0,-,roland memory card 256 ,Súper-Bebé,Granada,19/06/2022,27/09/2022,30/8/2022,408,1203
59,60,0,0,0,1,49,0,0,0,0,-,swissonic easykey 25 ,moog1406,Girona,02/06/2022,04/10/2022,30/8/2022,276,637
60,61,0,0,0,1,250,0,0,0,0,-,teclado midi m-audio axiom pro 49 ,esferarocks,Bizkaia,10/09/2017,13/10/2022,30/8/2022,745,1176
61,62,0,0,0,1,259,0,0,0,0,-,arturia drumbrute ,moog1406,Girona,07/04/2022,10/09/2022,30/8/2022,566,637
62,63,0,0,0,1,55,0,0,0,0,-,intellijel buff multiple · eurorack ,David,Valladolid,14/07/2022,12/09/2022,30/8/2022,302,488
63,64,0,0,0,1,550,0,0,0,0,-,roland fantom s 61 ,mikysound,Alicante,11/07/2022,09/09/2022,30/8/2022,448,995
64,65,0,0,0,1,250,0,0,0,0,-,eurorack bubble sound dualsem20 ,siropene,Madrid,23/08/2022,28/09/2022,30/8/2022,104,869
65,66,0,0,0,1,219,0,0,0,0,-,doepfer a-100lc3v low cost case vintage edition ,Storm,Bizkaia,25/05/2022,28/09/2022,30/8/2022,557,533
66,67,0,0,0,1,460,0,0,0,0,-,eurorack loquelic iteritas percido ,siropene,Madrid,23/08/2022,28/09/2022,30/8/2022,106,869
67,68,0,0,0,1,250,0,0,0,0,-,korg sp250 nuevo sin uso con atril y banqueta ,Musico 28,Zaragoza,07/07/2022,05/09/2022,30/8/2022,475,762
68,69,0,0,0,1,2050,0,0,0,0,-,korg kronos 2 ,davne,Madrid,25/07/2022,28/09/2022,30/8/2022,745,526
69,70,0,0,0,1,59,0,0,0,0,-,yamaha vrc 101 keyboard plucked & tuned percussion group ,moog1406,Girona,28/06/2021,26/09/2022,30/8/2022,270,637
70,71,0,0,0,1,0,0,0,0,0,-,"varios módulos make noise, mutable, cwejman en estado impecable ",funfanatic,Barcelona,07/07/2022,05/09/2022,30/8/2022,654,1055
71,72,0,0,1,0,0,0,0,0,0,-,roland s-220 sampler ,elprofesordedanza,Tarragona,05/07/2022,28/09/2022,30/8/2022,453,1816
72,73,0,0,0,1,499,0,0,0,0,-,modal argon8 ,Storm,Bizkaia,29/03/2021,25/09/2022,30/8/2022,4222,533
73,74,0,0,0,1,249,0,0,0,0,-,zoom arq anillo sintetizador nuevo ,moog1406,Girona,10/06/2022,04/09/2022,30/8/2022,473,637
74,75,0,0,0,1,620,0,0,0,0,-,soma lyra-8 ,roy242,Valencia,24/08/2022,23/10/2022,30/8/2022,188,498
75,76,0,0,0,1,60,0,0,0,0,-,doepfer a 106 5 sem filter ,Øliveira,Pontevedra,28/08/2022,27/10/2022,30/8/2022,60,964
76,77,0,0,0,1,2800,0,0,0,0,-,prophet sequential x ,luca7,Madrid,09/08/2022,08/10/2022,30/8/2022,216,476
77,78,0,0,0,1,350,0,0,0,0,-,microkorg s ,Misspocoyo,Córdoba,16/08/2022,17/10/2022,30/8/2022,230,1077
78,79,0,0,0,1,580,0,0,0,0,-,tarjeta exb-moss ,Carlos,Madrid,23/08/2022,19/10/2022,30/8/2022,170,612
79,80,0,0,0,1,65,0,0,0,0,-,behringer 305 output module ,Øliveira,Pontevedra,27/08/2022,26/10/2022,30/8/2022,74,964
80,81,0,0,0,1,160,0,0,0,0,-,expert sleepers disting mk4 - módulo eurorack ,Darth Synth,Barcelona,11/06/2022,13/09/2022,30/8/2022,340,1065
81,82,0,0,0,1,130,0,0,0,0,-,mutable instruments braids clone ,Wallace,La Rioja,04/07/2022,10/09/2022,30/8/2022,266,697
82,83,0,0,0,1,930,0,0,0,0,-,nord lead 3 ,Dmode,Barcelona,12/02/2022,20/09/2022,30/8/2022,470,489
83,84,0,0,0,1,160,0,0,0,0,-,moog werkstatt 01 + cv expander ,Darth Synth,Barcelona,20/06/2022,13/09/2022,30/8/2022,475,1065
84,85,0,0,0,1,1350,0,0,0,0,-,sintetizador kawai sx-210 ,finess7,Huelva,14/02/2022,20/09/2022,30/8/2022,1390,703
85,86,0,0,0,1,430,0,0,0,0,-,moog mother 32 ,Socri,Sevilla,09/08/2022,28/09/2022,30/8/2022,312,512
86,87,0,0,0,1,1200,0,0,0,0,-,hammond l122 recien restaurado ,organero,Cádiz,24/07/2021,31/08/2022,30/8/2022,677,861
87,88,0,0,0,1,1070,0,0,0,0,-,asm hydrasynth ,sasl,Valencia,03/09/2021,19/09/2022,30/8/2022,3212,435
88,89,0,0,0,1,930,0,0,0,0,-,novation peak ,roy242,Valencia,16/08/2022,28/09/2022,30/8/2022,208,498
89,90,0,0,0,1,210,0,0,0,0,-,korg electribe s mk2 ,drumax,Valencia,19/06/2019,28/09/2022,30/8/2022,1885,657
90,91,0,0,0,1,125,0,0,0,0,-,maleta sintetizador 61 aluminio ,jose,Murcia,28/05/2022,25/09/2022,30/8/2022,399,433
91,92,0,0,0,1,70,0,0,0,0,-,flightcase yamaha p 80 ,liradigital MRF,Madrid,11/04/2022,21/09/2022,30/8/2022,483,1419
92,93,0,0,0,1,119,0,0,0,0,-,yamaha rev 500 ,moog1406,Girona,23/12/2021,23/09/2022,30/8/2022,832,637
93,94,0,0,1,0,0,0,0,0,0,-,soporte quiklok en perfecto estado ,elprofesordedanza,Tarragona,21/07/2022,28/09/2022,30/8/2022,418,1816
