buy,change,sell,price,gift,search,repair,parts,synt_brand,description,city,published,expire,date_scrapped,seen
0,0,1,170,0,0,0,0,yamaha,yamaha sy22 ,Barcelona,2023/12/19,2024/06/16,2023/12/20,58
0,0,1,160,0,0,0,0,korg,korg micro x ,Palencia,2023/12/17,2024/06/14,2023/12/20,216
0,0,1,40,0,0,0,0,-,funda soundwear ,Pontevedra,2023/09/27,2024/06/07,2023/12/20,114
0,0,1,135,0,0,0,0,modular,2 buses y fuente para modular befaco regalo la caja ,Barcelona,2019/02/09,2024/06/17,2023/12/20,5981
0,0,1,100,0,0,0,0,arturia,arturia keystep 37 black edition ,Sevilla,2023/12/17,2024/06/14,2023/12/20,120
0,0,1,400,0,0,0,0,korg,korg kingkorg ,Valencia,2023/10/01,2024/06/17,2023/12/20,827
0,0,1,200,0,0,0,0,roland,roland u-220 con tarjeta expansión orchestral strings ,Araba,2023/12/17,2024/06/14,2023/12/20,84
0,0,1,25,0,0,0,0,roland,roland sound canvas mando a distancia ,Córdoba,2022/12/31,2024/06/09,2023/12/20,458
0,0,1,0,0,0,0,0,nord wave ,2 escucho ofertas serias ,Barcelona,2023/11/20,2024/05/18,2023/12/20,229
0,0,1,850,0,0,0,0,analogue solutions ,telemark ,Valencia,2023/10/04,2024/06/15,2023/12/20,781
0,0,1,925,0,0,0,0,dexibell,piano dexibell vivo s1 ,Burgos,2023/12/17,2024/06/14,2023/12/20,114
0,0,1,900,0,0,0,0,access,access virus c tambien cambio por analog rytm o syntakt ,Madrid,2023/09/08,2024/06/17,2023/12/20,712
0,0,1,2100,0,0,0,0,modular,modular case 6u 74hp mutable instruments ,Madrid,2023/07/24,2024/03/31,2023/12/20,743
0,0,1,6100,0,0,0,0,hammond,hammond c3 1961 chop down portable ,Zaragoza,2018/12/28,2024/06/10,2023/12/20,7038
0,0,1,150,0,0,0,0,roland,roland mc 307 ,Asturias,2023/11/22,2024/06/16,2023/12/20,198
0,0,1,490,0,0,0,0,mutable,mutable instruments ambika ,Valencia,2023/10/22,2024/06/15,2023/12/20,286
0,0,1,499,0,0,0,0,modal,modal argon8 ,Bizkaia,2021/03/29,2024/06/17,2023/12/20,5755
0,0,1,1900,0,0,0,0,korg,oportunidad korg 88 sv2 vintage ,Murcia,2023/12/14,2024/06/15,2023/12/20,140
0,0,1,1500,0,0,0,0,-,electron machinedrum sps1 uw mk1 ,Valencia,2023/12/06,2024/06/07,2023/12/20,188
0,0,1,1199,0,0,0,0,arturia,arturia matrixbrute impecable sintetizador analógico ,Madrid,2023/05/28,2024/01/17,2023/12/20,1530
0,0,1,380,0,0,0,0,roland,roland boutique jp 08 +teclado k25m ,Soria,2023/12/15,2024/06/12,2023/12/20,142
0,0,1,100,0,0,0,0,akai,modulos de percusión vintage akai xe 8 y yamaha rm 50 ,Madrid,2023/12/06,2024/06/14,2023/12/20,238
1,1,0,0,0,0,0,0,eurorack,o módulos eurorack qunexus volca fm ,Barcelona,2022/11/04,2024/01/12,2023/12/20,805
0,0,1,1950,0,0,0,0,korg,korg kronos 2 61 ,Cantabria,2023/12/06,2024/06/11,2023/12/20,1116
0,0,1,415,0,0,0,0,arturia,arturia keylab mkii 61 teclado controlador midi ,Lugo,2023/01/04,2024/06/12,2023/12/20,1384
0,0,1,180,0,0,0,0,akai,akai mpk61 teclado controlador ,Madrid,2023/12/16,2024/06/13,2023/12/20,126
0,0,1,420,0,0,0,0,-,mochika x-5 átomosynth sinte semimodular ,Madrid,2023/05/15,2024/06/12,2023/12/20,837
0,0,1,1000,0,0,0,0,-,xv 3080 con expansions ,Asturias,2023/11/22,2024/06/16,2023/12/20,244
0,0,1,299,0,0,0,0,roland,roland a80 por tiempo limitado ,Ourense,2023/11/13,2024/06/15,2023/12/20,286
0,0,1,13,0,0,0,0,roland,ventana display repuesto para roland tr-909 ,Cantabria,2023/12/18,2024/06/15,2023/12/20,64
0,0,1,1250,0,0,0,0,roland,roland jp8080 ,Madrid,2023/10/20,2024/01/14,2023/12/20,426
0,0,1,1000,0,0,0,0,waldorf,waldorf m +rackmount kit + caja ,A Coruña, ,2024/06/13,2023/12/20,132
0,0,1,1250,0,0,0,0,virus,virus ti polar ,Valencia,2023/12/13,2024/06/15,2023/12/20,179
