Unnamed: 0,urgent,buy,change,sell,price,gift,search,repair,parts,synt_brand,description,city,seen,published_dt,expire_dt,date_scrapped_dt
481,0,0,0,1,1250,0,0,0,0,access,access virus ti2 ,Bizkaia,229,2024-02-04,2024-07-21,2024-02-09
482,0,0,0,1,340,0,0,0,0,noise,noise engineering mimetic digitalis silver [eurorack] ,Madrid,58,2024-02-08,2024-07-25,2024-02-09
483,0,0,0,1,725,0,0,0,0,roland,roland fantom x8 ampliado 512 ram ,Navarra,1479,2023-05-11,2024-07-23,2024-02-09
484,0,0,1,0,1401,0,0,0,0,korg,o korg kronos ,Madrid,308,2024-02-05,2024-07-22,2024-02-09
485,0,0,0,1,180,0,0,0,0,behringer,behringer td-3-mo-sr ,Murcia,598,2023-09-21,2024-01-31,2024-02-09
486,0,0,0,1,450,0,0,0,0,behringer,behringer blue marvin 2600 ,Madrid,176,2024-02-07,2024-07-24,2024-02-09
487,0,0,0,1,225,0,0,0,0,intellijel,intellijel steppy [eurorack] ,Madrid,50,2024-02-08,2024-07-25,2024-02-09
488,0,0,0,1,3400,0,0,0,0,roland,roland mrs-2 promar compuphonic sintetizador analogico monofonico ,Madrid,276,2024-02-05,2024-07-22,2024-02-09
489,0,0,0,1,280,0,0,0,0,-,robaux swt 16+ ,Madrid,224,2024-02-03,2024-07-20,2024-02-09
490,0,0,0,1,650,0,0,0,0,arturia,arturia keylab 88 mk2 ,Pontevedra,136,2024-02-06,2024-07-23,2024-02-09
491,0,0,0,1,100,0,0,0,0,mutable,peaks versión no mutable instruments ,Gipuzkoa,214,2024-02-04,2024-07-21,2024-02-09
492,0,0,0,1,120,0,0,0,0,doepfer,doepfer a-140-2 dual micro adsr ,Madrid,241,2024-02-03,2024-07-24,2024-02-09
493,0,0,0,1,160,0,0,0,0,midi,teclado midi contrapesado 88 teclas ,Barcelona,4,2024-02-08,2024-07-26,2024-02-09
494,0,0,0,1,250,0,0,0,0,komplete,komplete kontrol s49 mk2 ,Madrid,173,2024-02-05,2024-07-22,2024-02-09
495,0,0,0,1,120,0,0,0,0,xaoc,xaoc devices tallin ,Valencia,322,2024-02-02,2024-07-26,2024-02-09
496,0,0,0,1,180,0,0,0,0,alm busy ,circuits pamela’s new workout ,Valencia,305,2024-02-02,2024-07-26,2024-02-09
497,0,0,0,1,490,0,0,0,0,yamaha,yamaha s 80 ,Valencia,335,2023-11-12,2024-05-10,2024-02-09
498,0,0,0,1,295,0,0,0,0,behringer,behringer pro 800 garantía y envío incluido a península ,Barcelona,256,2024-02-08,2024-07-25,2024-02-09
499,0,0,0,1,300,0,0,0,0,eurorack,varios sintes y módulos eurorack ,Córdoba,6243,2023-04-17,2024-02-21,2024-02-09
500,0,0,0,1,0,0,0,0,0,yamaha,teclado yamaha yc61 ,Valencia,242,2024-02-03,2024-07-20,2024-02-09
501,0,1,0,0,0,1,0,0,0,behringer,behringer ms-1 mk2 ,Barcelona,218,2024-02-05,2024-07-22,2024-02-09
502,0,0,0,1,285,0,0,0,0,red,red panda particle 2 ,Madrid,150,2024-02-06,2024-07-23,2024-02-09
503,0,0,0,1,390,0,0,0,0,befaco,befaco hexmix hexpander [eurorack] ,Madrid,68,2024-02-08,2024-07-25,2024-02-09
505,0,0,0,1,700,0,0,0,0,yamaha,yamaha tyros 2 ,Cádiz,328,2024-02-02,2024-07-19,2024-02-09
506,0,0,0,1,220,0,0,0,0,modular,st modular sum v2 ,Madrid,312,2024-02-03,2024-07-20,2024-02-09
507,0,0,0,1,2050,0,0,0,0,roland,roland jupiter x ,Barcelona,156,2024-02-07,2024-07-24,2024-02-09
508,0,0,0,1,100,0,0,0,0,-,prok drums [eurorack] - reservado ,Madrid,56,2024-02-08,2024-07-25,2024-02-09
509,0,0,0,1,975,0,0,0,0,squarp,squarp hapax secuenciador ,Granada,128,2024-02-07,2024-07-25,2024-02-09
510,0,0,0,1,2100,0,0,0,0,clavia,clavia nord wave 2 ,Madrid,244,2024-02-04,2024-07-21,2024-02-09
511,0,0,0,1,180,0,0,0,0,korg,korg monologue ,Barcelona,508,2023-12-01,2024-07-25,2024-02-09
512,0,0,0,1,1000,0,0,0,0,kurzweil,kurzweil artis 7 ,Valencia,360,2023-10-31,2024-04-28,2024-02-09
513,0,0,0,1,350,0,0,0,0,4ms,4ms dual looping delay ,Madrid,202,2024-02-03,2024-07-24,2024-02-09
514,0,0,0,1,1400,0,0,0,0,korg,korg pa1000 como nuevo!!! ,Tarragona,28,2024-02-09,2024-07-26,2024-02-09
515,0,0,0,1,1200,0,0,0,0,studio,studio electronics se-3x ,Bizkaia,594,2023-09-14,2024-07-21,2024-02-09
516,0,0,0,1,45,0,0,0,0,doepfer,doepfer a-131 vca exp ,Gipuzkoa,191,2024-02-04,2024-07-21,2024-02-09
517,0,0,0,1,70,0,0,0,0,-,maleta teclado de 5 octavas ,Barcelona,268,2023-10-06,2024-04-03,2024-02-09
518,0,0,0,1,1850,0,0,0,0,viscount,organo viscount legend live ,Sevilla,228,2024-02-04,2024-03-23,2024-02-09
519,0,0,0,1,80,0,0,0,0,technics,**urge** órgano technics pcm sound e11l ,Córdoba,442,2023-12-04,2024-06-01,2024-02-09
520,0,0,0,1,400,0,0,0,0,birkids,birkids the bateleur vco + expander ,Madrid,225,2024-02-03,2024-07-20,2024-02-09
521,0,0,0,1,400,0,0,0,0,korg,sintetizador korg m1 ,Toledo,233,2023-12-18,2024-06-15,2024-02-09
522,0,0,0,1,75,0,0,0,0,-,teclado m-adio oxygen 49 mkv ,Barcelona,212,2024-02-03,2024-07-20,2024-02-09
523,0,0,0,1,5,0,0,0,1,novation,"teclas y para roland, korg, yamaha, novation update 11 2 2022 ",Lugo,22551,2015-03-03,2024-07-23,2024-02-09
525,0,0,0,1,40,0,0,0,0,m-audio,teclado controlador m-audio axiom 25 ,Baleares,292,2023-11-23,2024-07-20,2024-02-09
526,0,0,0,1,200,0,0,0,0,eventide,eventide blackhole pedal ,Valencia,164,2024-02-06,2024-07-23,2024-02-09
527,0,0,0,1,110,0,0,0,0,io,io instruments euporie ,Madrid,251,2024-02-03,2024-07-20,2024-02-09
528,0,0,0,1,100,0,0,0,0,doepfer,doepfer a-145 lfo 2 unidades ,Barcelona,42,2024-02-09,2024-07-25,2024-02-09
